title,company,description,location,salary
Data Engineer,Clairvoyant,"Boto3, S3 client object API calls, pagination, StepFunction, serverless architecture, Glue data catalog, authoring Glue jobs, authoring Lambda functions, Lambda",Remote,"$140,000 - $160,000 a year"
Big Data Engineer,Purple Drive Technologies,"Hands on programming experience in Java, Scala, Python. Work as a big data developer in agile project. Big data: 10 years (Required). RDBMS - MySQL and No-SQL.","Costa Mesa, CA","$110,000 a year"
Telecommunications Engineer Data,Adept Consulting Services,"Field of Study: Engineering or Telecommunication or related field. 7 years' experience managing, developing and delivering strategic network architectural",Pennsylvania,"$100,000 - $120,000 a year"
"Data Center Facilities Engineer, Electrical",Sabey Corporation,"Analyze and troubleshoot complex systems failures, coordinate installation, maintenance and repair of electrical and mechanical systems, building control","Quincy, WA","$58,536 - $71,707 a year"
Software & Data Analytics Engineer,FacilityConneX,"You will leverage experience from various sources such as software developers, engineers, partner subject matter experts, and end users - to define business","Nashua, NH",$95.9K - $121K a year
Data Center Operating Engineer at International IT Corporation,Activ8 Recruitment and Solutions,"Perform Preventive and Proactive Maintenance, troubleshooting of HVAC, electrical systems, and other related as maintaining all Federal, State, and Local","Staten Island, NY",$34 - $66 an hour
Data Platform Engineer,Securian Financial Group,"Delivers the platforms, tools, and technical solutions to ensure areas such as Data Engineering, Data Science, Data Governance, and Analytics teams can","Saint Paul, MN",$90.4K - $114K a year
Data Center Engineer,Ryzen Solutions,*Competency to work independently with minimal supervision to maintain and repair servers in enterprise datacenter environments.*.,"Foster City, CA",$85 - $90 an hour
Senior AWS Data Engineer / Analyst,Stand Up Wireless,"Document and communicate technical designs, best practices, and analytical findings to both technical and non-technical stakeholders.",Remote,"$95,000 - $115,000 a year"
Data Center Facility Engineer - II (Seattle),Digital Realty,"Hands-on electrical or mechanical skill and competence in the area of non-expertise (for example, electrical expertise with mechanical competence, or vice-versa","Seattle, WA",
Federal - Azure Data Engineer,Accenture,"Experience with developing ETL pipelines in one or more of the following tools: Azure Data factory, Event hubs, Event grid, Azure functions, Data Flow, Hadoop,","Atlanta, GA",
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer,Ghritachi Inc,"Bachelor's degree (or equivalent) in computer science, information technology, engineering, or related discipline. (In person Interviews are mandatory).","Dallas, TX",$50 - $55 an hour
Data Engineer,CEDENT,"Good working knowledge of Control-M/Automation tools. Learn New technologies and evaluate new products, participating in Proof of Concepts (POCs) is a plus.","Smithfield, RI",$108K - $137K a year
Data Engineer,Konnectingtree,This is a remote position with an Implementation partner. We are looking for a Data Engineer for one of our clients. Data Engineer with AWS Experience.,Remote,$45 - $50 an hour
Sr. Data Center Engineer,The Judge Group,? Expert knowledge in structured cabling (fiber/copper technologies and design). ? Attend and host team and vendor meetings to plan and schedule maintenance and,"Rochelle, IL",
"Senior Associate, Solution Engineering-Data Engineer",Convera,We are looking for a forward-thinking engineering leader as our colleague with a strong architectural mind that will partner-up with Product to build and lead a,Remote,"$130,000 - $145,000 a year"
Data Engineer,Falling Colors,Collaborate on an interdisciplinary team to design and develop business intelligence solutions for behavioral health providers and administrators.,New Mexico,"$85,000 - $95,000 a year"
Data Engineer,Infoway solutions LLC,"Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.","Santa Clara, CA",Up to $68 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Data Engineer,Clairvoyant,"Boto3, S3 client object API calls, pagination, StepFunction, serverless architecture, Glue data catalog, authoring Glue jobs, authoring Lambda functions, Lambda",Remote,"$140,000 - $160,000 a year"
DATA ENGINEER,infinity quest,"You should have Experience with different aspects of data systems including database design, data modeling, performance optimization, SQL etc.","Seattle, WA",$65 an hour
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Building Engineer/Electrician - Data Center (22004487),Newmark,"Read, comprehend and work from complex technical information (i.e. blueprints, sketches, building plans and schematics) pertaining to electrical and mechanical","Colorado Springs, CO",$32.00 - $33.65 an hour
Data Engineer (Senior Technology Analyst) (JO#5883),Judicial Council of California,"Possession of a bachelor's degree in computer science, information systems, or directly related field may be substituted for one of the years of required","San Francisco, CA","$7,267 - $10,901 a month"
Sr. Data Network Engineer,Logix Guru,"Accountable for managing one's own time and work flow and leads projects and/or large project steps. Install network hardware, software, and peripheral","Pittsburgh, PA","$105,000 - $110,000 a year"
Associate Data Platform Engineer III,Penske Truck Leasing and Logistics,You will have an opportunity to lead the design of certain platform components and suggest new technology/tools based on industry and technological trends and,"Tampa, FL",
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer,Ghritachi Inc,"Bachelor's degree (or equivalent) in computer science, information technology, engineering, or related discipline. (In person Interviews are mandatory).","Dallas, TX",$50 - $55 an hour
Data Engineer,Konnectingtree,This is a remote position with an Implementation partner. We are looking for a Data Engineer for one of our clients. Data Engineer with AWS Experience.,Remote,$45 - $50 an hour
Data Engineer,Infoway solutions LLC,"Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.","Santa Clara, CA",Up to $68 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
DATA ENGINEER,infinity quest,"You should have Experience with different aspects of data systems including database design, data modeling, performance optimization, SQL etc.","Seattle, WA",$65 an hour
Senior Data Engineer (Hybrid),RelMap Consulting,"Ability to analyze and optimize query performance using indices. Ability to create and modify views. Ability to write complex queries, including joins, temp","Addison, TX",$70 - $80 an hour
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer,Mericaninc,"Atlanta, GA 30303: Reliably commute or planning to relocate before starting work (Required). Data warehouse: 1 year (Preferred).","Atlanta, GA",$60 - $65 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
AWS Data Engineer,KPI Partners,"Node.js for data pulls using API calls. Work collaboratively with Product Management, DevOps, and other software developers to develop applications that can be",Remote,"$140,000 - $160,000 a year"
"Data Engineer (Hybrid, Arlington VA)",Heuristic Solutions,LearningBuilder customers include small certification and licensure boards as well as large and complex organizations and the federal government.,"Arlington, VA","$115,000 - $125,000 a year"
Data Engineer,Amplify Resources Group,"Bachelor's degree in Computer science, statistics, applied mathematics, data management, information systems, information science, or a related quantitative","Orlando, FL","$109,305 - $140,000 a year"
Data Center Engineer - DE,Randstad Technologies,A strong working knowledge of data center processes and design. Previous experience working in a complex high availability data center environment providing,"Bear, DE",
Data Engineer - Flink,Amazon,AWS tools: 2 years (Required). Experience developing data pipeline parsers using Scala. Experience building and maintaining enterprise-scale (Terabyte - Exabyte,"San Diego, CA",$72 - $80 an hour
Data Center Engineer,Ryzen Solutions,*Competency to work independently with minimal supervision to maintain and repair servers in enterprise datacenter environments.*.,"Foster City, CA",$85 - $90 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer,Wevision LLC,"Drive adoption of the best engineering practices, including the use of design patterns, CI/CD, code review and automated integration testing.","Irvine, CA",$55 - $85 an hour
Telecommunications & Data Field Engineer,Redwood Systems INC,_*This can be an entry level position for candidates with either previous work experience in the field or candidate that may not have the work experience but,"Chicago, IL",$45K - $57K a year
Data Engineer,"Maas Energy Works, Inc","Bachelor's Degree in a quantitative field (Computer Science, Engineering, Statistics, etc.). Provide technical expertise in the implementation of Microsoft's","Redding, CA",$24 - $46 an hour
Data Engineer,Titan America,"Bachelor's degree in Computer Science, Computer Engineering, or a related technical field. Design, develop and maintain scalable data pipelines for extracting,","Roanoke, VA","$75,000 - $85,000 a year"
Data Engineer,Ghritachi Inc,"Bachelor's degree (or equivalent) in computer science, information technology, engineering, or related discipline. (In person Interviews are mandatory).","Dallas, TX",$50 - $55 an hour
Data Engineer,CEDENT,"Good working knowledge of Control-M/Automation tools. Learn New technologies and evaluate new products, participating in Proof of Concepts (POCs) is a plus.","Smithfield, RI",$108K - $137K a year
Data Engineer,Gridiron IT,Collaborate with the rest of data engineering team to design and launch new features. Design and develop robust and functional dataflows to support raw data and,"Washington, DC",$65 - $75 an hour
Data Engineer,Konnectingtree,This is a remote position with an Implementation partner. We are looking for a Data Engineer for one of our clients. Data Engineer with AWS Experience.,Remote,$45 - $50 an hour
Data Engineer,Infoway solutions LLC,"Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.","Santa Clara, CA",Up to $68 an hour
Implementation Data Engineer (East Coast Remote),Vision Government Solutions,"Ability to communicate and translate ideas between technical and non-technical parties. The right candidate will be driven by customer happiness, be obsessed",Remote,$62.7K - $79.4K a year
Data Center Engineer,The DAVIS Companies,"Structured cable installation and troubleshooting including copper and fiber optic cabling, wiring diagrams and pull schedules, site buildouts including rack",Massachusetts,
Data Engineer,Bay & Bay Transportation,"You would select, design, prototype, develop and implement technology solutions that will deliver the future of Bay & Bay with a small team of amazing software","Eagan, MN","$100,000 - $150,000 a year"
Building Engineer - Data Center,Paragon Services Engineering,"HVAC Maintenance and Operations, Central plant operations, Cooling tower maintenance, Water treatment systems, Air handlers operations and maintenance, Boiler","San Diego, CA",$30 - $44 an hour
Mechanical Engineer - HVAC Data Center Design,Equinix,"Directs external vendors per project or initiative such as general contractors, A&E design teams, commissioning agents, equipment suppliers, etc.","Redwood City, CA",
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Senior Data Engineer (Hybrid),RelMap Consulting,"Ability to analyze and optimize query performance using indices. Ability to create and modify views. Ability to write complex queries, including joins, temp","Addison, TX",$70 - $80 an hour
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Big Data Operations Engineer,apalepu@aagama.com,"Strong UNIX/Linux systems administration skills, including configuration, troubleshooting and automation. Experience working with AWS big data technologies (EMR","Dallas, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Senior Data Engineer (Hybrid),RelMap Consulting,"Ability to analyze and optimize query performance using indices. Ability to create and modify views. Ability to write complex queries, including joins, temp","Addison, TX",$70 - $80 an hour
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Big Data Operations Engineer,apalepu@aagama.com,"Strong UNIX/Linux systems administration skills, including configuration, troubleshooting and automation. Experience working with AWS big data technologies (EMR","Dallas, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Senior Data Engineer (Hybrid),RelMap Consulting,"Ability to analyze and optimize query performance using indices. Ability to create and modify views. Ability to write complex queries, including joins, temp","Addison, TX",$70 - $80 an hour
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Senior Data Engineer (Hybrid),RelMap Consulting,"Ability to analyze and optimize query performance using indices. Ability to create and modify views. Ability to write complex queries, including joins, temp","Addison, TX",$70 - $80 an hour
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Telecommunications Engineer Data,Adept Consulting Services,"Field of Study: Engineering or Telecommunication or related field. 7 years' experience managing, developing and delivering strategic network architectural",Pennsylvania,"$100,000 - $120,000 a year"
"Senior Data Engineer ( Atlanta,GA HYBRID )",Republic National Distributing Company,"Bachelor's/Tech School degree in Computer Science, MIS or Engineering or relevant technical field and/or commensurate years of real-world experience in software","Atlanta, GA",$101K - $128K a year
"Big Data Engineer, Mid",Booz Allen Hamilton,Ability to communicate data engineering issues and solutions to technical and non-technical audiences. Access online and onsite training in data analysis and,"Arlington, VA","$58,400 - $133,000 a year"
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Big Data Engineer,TAA Solutions LLC,Collaborates with a highly technical user base on how to properly use the Grid and Slurm. Responsible for developing custom Amazon Machine Image's (AMI's) and,Remote,$19.29 - $85.16 an hour
Data Engineer with PL/SQL Developer,Integration Developer Network LLC,"Must have working experience with tools like Airflow, Git. Recent pl/sql development work experience with Oracle 19. PL/SQL: 8 years (Required).","Houston, TX",$65 - $75 an hour
Data Engineer,PandaDoc,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Saint Petersburg, FL","$135,000 - $170,000 a year"
Data Pipeline Engineer,Fuge Technologies Inc,_*Bachelor's degree in Computer Science/Information Technology or related field and/or equivalent experience.*_. Expert-level SQL is required.,"McLean, VA",$65 - $70 an hour
Data Engineer,PCS Wireless,"Bachelor's degree in computer science, engineering, or a related field preferred. 2+ years of experience in data engineering or a related field.",Remote,$115K - $145K a year
Azure Data Engineer,ALTA IT Services,"This will give you the opportunity to analyze requirements, develop data and analytical solutions, and execute as part of the project team, all while working","Portland, OH","$120,000 - $160,000 a year"
Azure Data Engineer,Kforce,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater","Oakbrook Terrace, IL",$75 an hour
Snowflake Data Engineer,Futuretech Consultants LLC,"To ensure success as a Snowflake data engineer, you should have extensive knowledge of database design, implementation, and optimizing of large-scale data and","Newton, MS",$40 - $45 an hour
Data Engineer,GovDocs,Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for,"Saint Paul, MN","$90,000 - $120,000 a year"
Data Warehouse Engineer,PRIMUS GLOBAL SERVICES,"Recent experience developing on Oracle 19c or higher. All consultants must work on PRIMUS payroll.*. 10+ years in Data Warehousing, Informatica products, and",Remote,"$135,000 - $138,000 a year"
Snowflake Data Engineer pipeline,Findability Sciences,Translate requirements for BI and Reporting to Database design and reporting design. Understanding data transformation and translation requirements and which,"Houston, TX",$42.14 - $70.29 an hour
Sr. Data Engineer,DataPattern,"Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid).","Los Angeles, CA",$65 - $75 an hour
"Data Center Facilities Engineer, Electrical",Sabey Corporation,"Analyze and troubleshoot complex systems failures, coordinate installation, maintenance and repair of electrical and mechanical systems, building control","Quincy, WA","$58,536 - $71,707 a year"
Sr. Data Engineer,The Judge Group,"Looking for a Sr. Data Engineer with strong Tableau experience(over 5 years). SQL for Reporting, Analysis and Data Visualization.","Centennial, CO",
