index,title,company,skills,location,posted_date,type,salary
31,Data Architect - IICS,Mastech Digital,Data Architect - IICS,"Remote or Pittsburgh, PA",3/27/2023,Remote or Onsite,$75.00 per hour
32,Data Architect,U.S. Tech Solutions Inc.,"PLSQL, Big Data, Data Architect, Hadoop","Atlanta, GA",3/31/2023,"Contract: W2, 5 Month(s)",Depends on Experience
33,Azure Data Architect,IDC Technologies,"Azure security, Data Architect, DevOps, capacity management, data governance, Power BI",Remote,4/9/2023,Remote,"$180,000 - $200,000"
34,Solutions/Data Architect,"V.L.S. Systems, Inc","Azure, AWS, SaaS, Data Architect, Scrum, Software as a Service, Data Management, Data Architecture","Richmond, VA",4/13/2023,"Contract: W2, Independent, 12 Month(s)",Depends on Experience
35,Data Architect,Enquizit,"Data Architect, Data Science, Data migration, ETL, MySQL, Oracle, PostgreSQL, Python, SQLServer, Big Data, Azure, NoSQL, data warehouses, data warehouse, data collection, data modeling, data privacy, data architecture, GDPR",Remote,4/14/2023,Remote,Depends on Experience
36,Senior Data Architect,Syeta Inc,"Big Data, Data Architect, Erwin, HDFS, Json, NoSQL","New York, NY",4/11/2023,Full Time,"$140,000 - $170,000"
37,Principal Data Architect,International Solutions Group,"Data Architect, Data mapping, function mapping",Remote,3/24/2023,Remote,Depends on Experience
38,"Data Architect - Atlanta, GA or Remote",CRH Americas Inc,Data Architect,"Atlanta, GA",4/5/2023,Full Time,Depends on Experience
39,Sr. SQL Server Data Architect,SGIC Cloud Technologies Inc.,"SQL Server, Data Architect","San Jose, CA",4/6/2023,"Contract: Corp-To-Corp, Independent, W2, 12 Month(s)",Depends on Experience
40,Data Architect,Randstad Technologies,Data Architect,"Remote or New York, NY",3/8/2023,Remote or Onsite,USD85 - USD100
41,Solutions/Data Architect,"DataStaff, Inc.","Scrum, GIS, Azure, Agile, AWS, Data Architect, Data Architecture, Data Management, SaaS, Software as a Service","Richmond, VA",4/14/2023,"Contract: W2, Independent",Depends on Experience
42,Sr Data Architect,Nava Software Solutions,"SQL, ETL, Data Architect, MDM","Indianapolis, IN",3/31/2023,"Contract: W2, Corp-To-Corp, Independent, 12 month(s)",
43,Data Architect,"Computer Enterprises, Inc.","Data Architect, Oracle, Informatica, Kafka, MQ, API, ETL","Pittsburgh, PA",4/3/2023,"Contract: W2, 5 Month(s)",$76 - $82
44,Google Cloud Platform Data Architect,Benvia,"GCP Data Architect, SQ, Python, GCP, DBT, BQ, SQL, GCP Cloud Data, BigQuery",Remote,4/14/2023,Remote,Depends on Experience
45,Data Architect (W2 opportunity),XFORIA Inc,"data architect, data modeling, data warehousing",Remote,3/31/2023,Remote,$70 - $80
46,Azure Data Architect,ResolveTech Solutions Inc.,"Data Architect/ Engineer, Azure, Data Bricks, T-SQL",Remote,4/3/2023,Remote,Depends on Experience
47,Data Architect IV (Contractor),Signature Consultants,Data Architect IV (Contractor),"Vinings, GA",3/30/2023,Contract: W2,
48,Data Architect,SUNRAY INFORMATICS,"SQL, ETL, NoSQL, Oracle, Data Architect, master data management, data management, Tableau, Power BI, Azure, Azure SQL, Data Mining, data warehouses, data visualization, data warehouse, data pipelines",Remote,4/5/2023,Remote,Depends on Experience
49,Data Architect with Retail background,Maxus Technology USA LLC,"Data Architect, RDMS, noSQL, Couchbase, ADLS","Nashville, TN",4/13/2023,"Contract: W2, 6 Month(s)",$70 - $80
50,Data Scientist-100% Remote only W2 Allowed,Jade Biz Services,"Python, Data Scientist, Databricks",Remote,3/28/2023,Remote,
51,Data Scientist,"Engage Partners, Inc.","AI, Data Scientist, Python, ad - hoc analysis, analytical skills, cloud - based architecture, communication skills, computer science, machine learning, physics, predictive models, verbal communication","New York, NY",3/27/2023,Full Time,Depends on Experience
52,Data Scientist,Darwin Recruitment,Data Engineering,"Chicago, IL, IL",4/15/2023,Full Time,$100000.00 - $120000.00 per annum
53,Data Scientist,ABN TECH CORP,"Python, Machine learning, Arima, Sarima, Data Scien*","San Francisco, CA",4/14/2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",$60 - $70
54,Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",Remote,4/13/2023,Remote,Depends on Experience
55,Senior Data Scientist with Python,"Pyramid Consulting, Inc.","data scientist, Python, AI, ML","Irving, TX",3/16/2023,"Contract: Corp-To-Corp, W2, Independent, 30 Month(s)",$70 - $90
56,Data Scientist w/ MMM or MTA,Randstad Technologies,Data Scientist w/ MMM or MTA,"San Bruno, CA",3/24/2023,Contract: W2,USD60 - USD80
57,"Geospatial Data Scientist, Junior to Senior Level, TS SCI Clearance",EMW Staffing Solutions LLC,"Geospatial, Data Scientist, ESRI","Springfield, VA",3/28/2023,Full Time,"$85,000 - $130,000"
58,Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance metrics, Data pre-processing, Neural or NLP, AB testing","Remote or Remote, WI",4/14/2023,Remote or Onsite,USD Depends on Experience
59,Remote Job Opportunity: Immediate need for a talented Data Analyst/ Data Scientist.,"Pyramid Consulting, Inc.","Data Analyst, Data Scientist, ETL, PowerBI, Tableau",Remote,4/6/2023,Remote,"$100,000 - $120,000"
60,Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BIGQUERY, SCIENTIST, vertex AI","Remote or San Jose, CA",4/13/2023,Remote or Onsite,
61,"Data Scientist, Candidates Must be local to Georgia",Taras Technology LLC,"Data Scientist, NLP, Deep learning, text mining, Probabilistic, PySpark, Java, Hadoop, Hive, Spark","Alpharetta, GA",4/14/2023,"Contract: W2, Corp-To-Corp, 8 Month(s)",$65 - $70
62,Data Scientist,"Zachary Piper Solutions, LLC",,"McLean, VA",4/15/2023,Full Time,
63,Lead Data Scientist,Xcelligen Systems Inc.,"Python, Postgres, Tableau, Oracle, SQL, OCR, Artificial Intelligence, Business Intelligence, NLP, ETL, AI, Data Scientist, Database",Remote,3/20/2023,Remote,Depends on Experience
64,"Data Scientist w/database technologies, including Oracle, SAP, DB2, Teradata, SQL Server, SAP HANA, MySQL 100% Remote",Zeektek,"Data Scientist, Python, Teradata, Oracle, SQL Server, Data Science",Remote,4/14/2023,Remote,$70 - $75
65,Data Scientist,Eliassen Group,,"Charlotte, NC",4/13/2023,Contract: W2,
66,"Data Scientist - Hybrid onsite (Tampa, FL)",Xoriant Corporation,"Data Science/Data Scientist, Machine Learning/ML, NLP, Oracle, Python/R, SQL, Big DAta, Data analyst","Tampa, FL",3/23/2023,"Contract: W2, 12 Month(s)",$80 - $85
67,"Data Scientist (Machine Learning) || Sunnyvale, CA (Onsite from Day1) || Contract",Spar Information Systems,"Python, Machine Learning, Data Scientist, Scikit Learn, Arima, SARIMA, prophet, LSTM, pandas, Pytorch","Sunnyvale, CA",4/14/2023,"Contract: W2, Corp-To-Corp, 12+ Month(s)",
68,Staff Data Scientist,High Country Search Group,"Data Science, PHD, MLOps, NLP","New York, NY",4/11/2023,Full Time,"$170,000 - $215,000"
69,Data Scientist,Yash Solutions LLC,"Data Scientist, Machine Learning, Python, AWS, Sagemaker, Athena, Glue, SQL","Greenville, SC",2/28/2023,Contract: W2,Depends on Experience
70,Data Scientist,Kforce Technology Staffing,,"Remote or Cincinnati, OH",4/13/2023,Remote or Onsite,$47 - $51 hourly
71,Data Scientist,IT Concepts Inc,"statistical analysis, machine learning, ML model, Natural Language Processing, NLP, SQL, advanced queries, Python, SAS, R Program, Enterprise Data, data manipulation, data visualization, Data Analytics, Tableau, Data Scientist, Data Science","Woodlawn, MD",3/2/2023,Full Time,"$100,000 - $140,000"
72,Data Scientist,Kforce Technology Staffing,,"Remote or Redmond, WA",4/11/2023,Remote or Onsite,$55 - $70 hourly
73,Data Scientist,Peterson Technology Partners,"Data Mining, Data Science, Decision Trees, Keras, NLTK, Natural Gas, Machine Learning, Text Mining, TensorFlow, modeling / data",Remote,3/31/2023,Remote,Depends on Experience
74,Data Analyst- Machine Learning / Data scientist,Purple Drive Technologies LLC,"C +, Clustering, C + +, D3 . js, Data Scientist, Decision Trees, Machine Learning, Data Analyst, Generalized Linear Model, Deep Learning, Neural Networks, Hadoop, K - Means, Matplotlib, MATLAB, NoSQL, MongoDB, Java, D3, SQL, analytical skills, Plotly, Tableau, attention to detail, data structures, Qlik, Python, data visualization, data modeling, unsupervised, Regression, R, data mining, database design, Scala, naive Bayes, statistical analyses, statistical analysis, unsupervised machine learning","Austin, TX",4/11/2023,Full Time,Depends on Experience
75,AI Data Scientist,Meridianservices LLC.,Data Scientist,"Dallas, TX",2/9/2023,Full Time,Depends on Experience
76,Data Scientist - Fulltime,CitiusTech,"data science, Elastic Search, MongoDB, multivariate testing, predictive analytics, statistical analysis, Pandas, Pig, Python, Scala, data modeling, machine learning",Remote,4/11/2023,Remote,Depends on Experience
77,Data Scientist,Indotronix International Corp,"Analytics, Python, sql, data science","Portland, OR",4/4/2023,"Contract: W2, 6 Month(s)",$100 - $110
78,Data Scientist,CMCI,"Data Scientist, Business Objects, Cluster Analysis, Data Scientists, Hadoop, Java, Kafka, Natural Language Processing, PowerBI, Python, R, project management, project plans, SPSS Modeler, SPSS, Scala, Tableau, data analysis, SAS",Remote,3/6/2023,Remote,Depends on Experience
79,Data Scientist,Apex Systems,,"Richmond, VA",4/6/2023,Full Time,
80,Data Scientist - NLP,ADDSOURCE,"Python, SQL, Kafka, NLP, DATA SCIENCE","Remote or Jersey City, NJ",4/11/2023,Remote or Onsite,
81,Data Scientist,Motion Recruitment,,"Los Angeles, CA",4/7/2023,Full Time,
82,Sr Data Scientist,"ATR International, Inc.",,"San Mateo, CA",4/14/2023,Full Time,
83,Contract Data Scientist,ALTA IT Services,"power bi, tableau, cloud computing, automated pipeline building, data modeling, SQL, Python","Cincinnati, OH",4/6/2023,Contract: W2,Up to $80
84,,,,,,,
85,,,,,,,
86,Data Scientist,Xcelo Group Inc,,"Remote or Dallas, TX",4/4/2023,Remote or Onsite,
87,,,,,,,
88,Data Scientist,Robert Half,"Python, Computer, SQL, Mathematical","CHICAGO, IL",4/14/2023,Full Time,$100000.00 to $125000.00 yearly
89,Data Scientist,Dew Software,"Data Scientist, Machine Learning, communication skills, data architecture, problem - solving skills, Python, data engineering",Remote,2/14/2023,Remote,Depends on Experience
90,,,,,,,
91,,,,,,,
92,Data Scientist 2,Kforce Technology Staffing,,"Remote or Redmond, WA",4/10/2023,Remote or Onsite,$40 - $52 hourly
93,Data Scientist,"TSR Consulting Services, Inc.","Python, Matlab, Oracle, SQL, Consulting","Princeton, NJ",4/13/2023,"Contract: Corp-To-Corp, W2, Independent",
94,,,,,,,
95,,,,,,,
96,Data Scientist Lead,Wipro Ltd.,,"Tampa, FL",4/14/2023,Full Time,
97,Senior Data Scientist,Eliassen Group,,"Herndon, VA",4/7/2023,Contract: W2,
98,Data Scientist,Odesus,"AI, Artificial intelligence, Python, R, SQL, DBMS, SAS, Stata, SPSS, Sagemaker, TensorFlow, Kafka, Spark, Hadoop","Los Angeles, CA",4/10/2023,Full Time,"$120,000 - $175,000"
99,Lead Data Scientist,Eliassen Group,,"Herndon, VA",4/7/2023,Contract: W2,
100,Data Scientist,Jobot,,"New York, NY",4/4/2023,Full Time,"$120,000 - $140,000 per year"
101,Data Scientist II,Pax8,,"Remote or Greenwood Village, CO",4/8/2023,Remote or Onsite,
102,Data Scientist,Robert Half,"SQL, Excel, Python","Cherry Hill, NJ",4/9/2023,Full Time,$100000.00 to $120000.00 yearly
103,Data Scientist,Motion Recruitment,,"Houston , TX",3/29/2023,Full Time,
104,Data Scientist,Maddisoft,,"Houston, TX",3/28/2023,"Full Time, Part Time, Contract: W2, Independent, Corp-To-Corp",
105,Senior Microbiome Data Scientist,Motion Recruitment,,,4/13/2023,Full Time,
106,Data Scientist,Apex Systems,,"Indianapolis, IN",3/28/2023,Full Time,
107,Data Scientist,ApTask,"python, sql, bert, nlp",Remote,4/11/2023,Remote,$60 - $70
108,Data Scientist (Energy Preferred),Jobot,,"Herndon, VA",4/12/2023,Full Time,"$140,000 - $170,000 per year"
109,Data Scientist (HDIP) - Hybrid,Irvine Technology Corporation (ITC),,"Los Angeles, CA",4/11/2023,Full Time,"USD120,000 - USD175,000"
110,Data Scientist Advisor,Kforce Technology Staffing,,"Remote or Fairfax, VA",4/3/2023,Remote or Onsite,$59.50 - $80.50 hourly
111,,,,,,,
112,Data Scientist,E-Deft,,,3/28/2023,"Contract: Corp-To-Corp, Independent, W2",
113,Data Scientist Senior,SAIC,"Research, Laboratory, Modeling, Computer, Engineering, Python, Security","MONTEREY, CA",4/13/2023,Full Time,
114,Data Scientist,Novateur Technologies Inc.,"Statistical modeling, Bayesian model, impact model","Dallas, TX",4/4/2023,"Contract: W2, Independent, Corp-To-Corp, 6 Month(s)",Depends on Experience
115,AVP & Data Scientist,Travelers,,"Hartford, CT",4/12/2023,Full Time,"$164,600.00 - $271,500.00"
116,,,,,,,
117,,,,,,,
118,Data Scientist,Global Data Consultants,,"Carlisle, PA",3/24/2023,Full Time,
119,Senior Data Scientist,Aerospace Corporation,,"Chantilly, VA",4/6/2023,Full Time,
120,Scientific - Data Scientist,Net2Source Inc.,Please refer to job description,"Lawrenceville, NJ",4/12/2023,"Contract: Independent, W2, 8+ mo(s)",$1 - $64.28 hr
121,Data Scientist (TS/SCI with Full Scope Poly),Jefferson Frank,"AI, ML, Data","Falls Church, VA",4/12/2023,Full Time,$200000 - $220000 per annum
122,Sr. Data Scientist,Atyeti,"Python, AWS, Scala, Spark","Washington D.C., DC",4/10/2023,"Contract: Corp-To-Corp, Independent, W2, 24 Month(s)",$70 - $80
123,Sr. Data Scientist,Atyeti,"Python, Scala, Spark, Machine Learning, AWS",Remote,4/10/2023,Remote,Depends on Experience
124,Sr. Data Scientist I,Pax8,,"Remote or Greenwood Village, CO",4/8/2023,Remote or Onsite,
125,Data Scientist,TEKHiring,"Machine Learning, Data Science, Random Forest, NLP, Python","Austin, TX",3/17/2023,"Contract: W2, Independent, 1 Year(s)",$40 - $50
126,Data Scientist,Robert Half,"Python, Mathematical","JOHNSTON, IA",4/4/2023,"Contract: Independent, W2",
127,Sr Data Scientist,W3Global,"Machine Learning, Python, SQL, Neural Networks, (Natural Language Processing/Computer Vision), Tensorflow, PyTorch, SkLearn, REST APIs, Docker/Kubernetes, Azure/AWS clouds","Santa Clara, CA",4/12/2023,Full Time,USD120000.0/ANNUAL - USD160000.0/ANNUAL
128,Senior Data Scientist - Geospatial,Darwin Recruitment,Data Science,"Dallas, TX",3/21/2023,Full Time,$140000.00 - $180000.00 per annum
129,Principle Data Scientist,ADDSOURCE,"Kafka, Hadoop, Machine Learning, Docker, AI solution","Remote or Jersey City, NJ",4/10/2023,Remote or Onsite,
130,Senior Data Scientist - Telematics,"Capgemini America, Inc.","Telematics, Python, snowflake, oracle, AWS services","Hartford, CT",4/11/2023,Full Time,Depends on Experience
131,"Data Scientist, Underwriting Automation and Artificial Intelligence",Travelers,,"Hartford, CT",4/14/2023,Full Time,"$121,700.00 - $200,800.00"
132,Senior Data Scientist III,"Korn Ferry/RELX, Inc. RPO",legal,Remote,4/11/2023,Remote,Depends on Experience
133,Data Scientist - Fortune 500 Company,Motion Recruitment,,"Irvine , CA",4/7/2023,Full Time,
134,Data Scientist - Fortune 500 Company,Motion Recruitment,,"Houston, TX",4/7/2023,Full Time,
135,Data Scientist - Fortune 500 Company,Motion Recruitment,,"San Diego, CA",4/7/2023,Full Time,
136,Data Scientist,Veear,"NLP, SQL, Tableau","Sunnyvale, CA",3/24/2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$45 - $90
137,Data Scientist - ML - Computer Vision,Eliassen Group,,"Charlotte, NC",4/7/2023,Contract: W2,
138,Data Scientist,Info Dinamica Inc,"Machine Learning, Image Filtering, Binary Morphology, Perspective / Affine transformation, Edge Detection, Tracking., Regression, Unsupervised Learning, PCA.","Santa Clara, CA",3/28/2023,"Contract: W2, Independent, Corp-To-Corp, 13 day((s))",
139,Data Scientist,FirstParty,"Python, SQL",Remote,3/24/2023,Remote,$70 - $90
140,Data Scientist - Data Analyst,Chobanian Group,"Tableau, SQL, Python","Sunnyvale, CA",4/13/2023,"Contract: W2, Independent",$80 - $90
141,Data Scientist,MAXAR Technologies,,"Arlington, VA",3/13/2023,Full Time,
142,Actuarial Data Scientist - Remote,Amica,,"Remote or Lincoln, RI",3/28/2023,Remote or Onsite,See Job Description
143,,,,,,,
144,Data Scientist,Apex Systems,,"Lenexa, KS",3/14/2023,Full Time,
145,Sr. Data Scientist,Concentrix Catalyst,Network,Remote,4/1/2023,Remote,
146,Data Scientist II,"firstPRO, Inc","Sql, R, Python",Remote,3/29/2023,Remote,"$90,000 - $120,000"
147,Data Scientist,"SystemDomain, Inc.",,"Hartford, CT",3/9/2023,"Full Time, Part Time, Contract: Corp-To-Corp, Independent, W2",
148,Data Scientist / ML/AI / Chemistry / Manufacturing,Motion Recruitment,,"Los Angeles, CA",4/7/2023,Full Time,
149,Sr Data Scientist,SHOP.COM / Market America,"PyTorch, Tensorflow, scikit-learn, Python, SQL",Remote,3/27/2023,Remote,Depends on Experience
150,,,,,,,
151,Data Scientist Only on W2 - (Initially REMOTE),Xcelo Group Inc,,Remote,4/10/2023,Remote,
152,,,,,,,
153,Senior Data Scientist (US Remote Eligible),General Mills,,"Minneapolis, MN",4/4/2023,Full Time,Depends on Experience
154,Senior Data Scientist,Eliassen Group,,"Charlotte, NC",3/16/2023,Contract: W2,
155,Data Scientist (Remote),Surya Systems,"SQL, Python, data scientist",Remote,1/13/2023,Remote,$Market
156,IT|Data Analysis - Data Scientist I,Stellar Consulting Solutions,,"Santa Clara, CA",3/27/2023,"Contract: Corp-To-Corp, Independent, W2, 5 month(s)",
157,Data Scientist,AccruePartners,"Python, Domino",,3/16/2023,Contract: W2,
158,Data Scientist/Optical Physicist - Direct Hire,Kelly,"Computer, Engineering, Python, Embedded, Developer, IT","Denver, CO",4/13/2023,Full Time,
159,Senior Data Scientist,Infinity Consulting Solutions,"Python, SQL, Application, Modeling, Web, Consulting, ICS, Accounting","Lisle, IL",3/23/2023,Full Time,
160,Data Scientist / ML/AI/ Chemical Engineering / Manufacturing,Motion Recruitment,,"Houston, TX",4/7/2023,Full Time,
161,Data Scientist/ Masters or PhD required,Motion Recruitment,,"Salt Lake City, AZ",4/5/2023,Full Time,
162,,,,,,,
163,Data Scientist,Motion Recruitment,,"Arlington, VA",3/3/2023,Full Time,
164,Data Scientist,Eliassen Group,,"Stamford, CT",3/2/2023,Contract: W2,
165,Data Scientist,EKIN Solutions Inc,"Machine Learning, Hadoop Ecosystem, Spark",,3/16/2023,"Full Time, Remote","$100,000 - $140,000"
166,Senior Data Scientist,Centraprise Corp,"Python, Data Science, Artificial Intelligence, Natural Language Processing",,3/2/2023,"Full Time, Contract: W2",$DOE
167,"Lead Data Scientist, Underwriting",New York Life Insurance Company,"Artificial Intelligence, Analytical, IT, Python, SQL, Oracle, Sales, Foundation",,3/27/2023,"Full Time, Remote",
168,Remote Data Scientist,Apex Systems,,"Johnston, IA",3/10/2023,Full Time,
169,R Developer/ Data Scientist,Quantum Vision LLC,R,"Jersey City, NJ",3/30/2023,"Contract: W2, Independent, Corp-To-Corp, 12 month(s)",
170,Data Scientist/Analyst,Software Guidance & Assistance,,"San Francisco, CA",3/9/2023,"Contract: Independent, W2, Corp-To-Corp",$90.0 - $105.0
171,Data Scientist,Robert Half,"IT, Engineering, Computer, SQL, Python, Analysis, Networks","Houston, TX",3/10/2023,"Contract: Independent, W2",$61.75 to $71.50 hourly
172,Data Scientist - Cyber,"ConsultNet, LLC","Director, Computer, Physics, Engineering, Python, SQL, AWS","Rockville, MD",3/16/2023,Full Time,
173,Jr. Data Scientist,Skilltune,"emass, xacta","New York, NY",3/20/2023,"Contract: W2, 14 Month(s)",$40 - $55
174,,,,,,,
175,,,,,,,
176,"Lead Data Scientist at Reston, Virginia (Initial Remote)","KMM Technologies, Inc","HADOOP, Analytics, AWS, ML, Hive","Remote or Reston, VA",4/13/2023,Remote or Onsite,
177,Senior Data Scientist Health and Wellness DTC Consumer Product Company,Motion Recruitment,,"Watertown, MA",4/8/2023,Full Time,
178,Data Analyst/Scientist (Oracle),World Wide Technology,"Data Scientist, oracle",Remote,4/5/2023,Remote,Depends on Experience
179,,,,,,,
180,Data Scientist 3,HII Mission Technologies,,"San Antonio, TX",3/2/2023,Full Time,
181,Data Scientist / Data Analyst,"firstPRO, Inc",R,"Camden, NJ",3/22/2023,Full Time,"$80,000 - $100,000"
182,Data Scientist - Hybrid,Benchmark IT- Technology Talent,"Data science, STEM, AI, ML, DS, Python, R, Matlab, Tensorflow, Tesseract, PyTorch, Keras, CI/CD, AWS, Azure, GCP, Github, BitBucket, Google Colab, Kaggle, Communication","Greenwich, CT",2/28/2023,Full Time,Depends on Experience
183,Adtech Data Scientist - 100% Remote in US,Motion Recruitment,,"Boston, MA",4/3/2023,Full Time,
184,Data Scientist (Hybrid Onsite 2 days a week),Xoriant Corporation,"Python, Unix, Oracle","Tampa, FL",4/5/2023,"Contract: Independent, W2, 12 Month(s)",$70 - $80
185,Senior Data Scientist,Infinity Consulting Solutions,"Analytical, Engineer, Computer, Research, Consulting, ICS, Accounting","Houston, TX",3/11/2023,Full Time,
186,Data Scientist/ Agronomic Development,Motion Recruitment,,"Philadelphia, PA",3/4/2023,Full Time,
187,Data Scientist,Motion Recruitment,,"San Diego , CA",2/15/2023,Full Time,
188,Data Scientist,Motion Recruitment,,"Torrance , CA",2/15/2023,Full Time,
189,Data Scientist,Motion Recruitment,,"Carlsbad, CA",2/15/2023,Full Time,
190,Data Scientist,Motion Recruitment,,"Irvine , CA",2/14/2023,Full Time,
191,Data Scientist,Motion Recruitment,,"Los Angeles, CA",2/14/2023,Full Time,
192,Data Scientist,SAIC,"Management, Systems, Python, NLP","MACDILL AFB, FL",2/24/2023,Full Time,
193,Data Scientist,AccruePartners,"IT, Engineers, Engineering, Computer, Systems, Python, SQL","Fort Mill, SC",2/24/2023,Full Time,
194,Jr. Machine Learning Data Scientist,"K2 Partnering Solutions, Inc.","python, machine learning",Remote,3/13/2023,Remote,$50 - $60
195,Data Scientist,BNY Mellon Corporation,"Analysis, Python, Java, Matlab, SQL, Foundation","Pittsburgh, PA",2/23/2023,Full Time,
196,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation","Pittsburgh, PA",2/23/2023,Full Time,
197,Data Scientist,BNY Mellon Corporation,"Computer, Programming, Python, Java, Matlab, SQL, Foundation","Lake Mary, FL",2/23/2023,Full Time,
198,Data Scientist / Hybrid in Dallas,Motion Recruitment,,"Dallas, TX",3/7/2023,Full Time,
199,Data Scientist (TS/SCI w/ poly),Motion Recruitment,,"Washington, DC",3/3/2023,Full Time,
200,Data Analyst,QED National,Data Analyst,"New York, NY",4/12/2023,"Contract: W2, Corp-To-Corp, 6 month(s)",$45 - $53 per hour
201,Data Analyst,Randstad Technologies,Data Analyst,"Schertz, TX",4/12/2023,Full Time,"USD70,000 - USD80,000"
